Identifiant;Description;GPO_Key;Parameter;Hardening Value;FLAG;Descript;Rationale;Remediation;Impact
1.1.1;Ensure 'Enforce password history' is set to '24 or more password(s);GPO;EnforcePasswordHistory;>=24;;This policy setting determines the number of renewed, unique passwords that have to be associated with a user account before you can reuse an old password. The value for this policy setting must be between 0 and 24 passwords. The default value for Windows Vista is 0 passwords, but the default setting in a domain is 24 passwords. To maintain the effectiveness of this policy setting, use the Minimum password age setting to prevent users from repeatedly changing their password. ;"The longer a user uses the same password, the greater the chance that an attacker can determine the password through brute force attacks. Also, any accounts that may have been compromised will remain exploitable for as long as the password is left unchanged. If password changes are required but password reuse is not prevented, or if users continually reuse a small number of passwords, the effectiveness of a good password policy is greatly reduced. 
If you specify a low number for this policy setting, users will be able to use the same small number of passwords repeatedly. If you do not also configure the Minimum password age setting, users might repeatedly change their passwords until they can reuse their original password. ";Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Enforce password history ;The major impact of this configuration is that users must create a new password every time they are required to change their old one. If users are required to change their passwords to new unique values, there is an increased risk of users who write their passwords somewhere so that they do not forget them. Another risk is that users may create passwords that change incrementally (for example, password01, password02, and so on) to facilitate memorization but make them easier to guess. Also, an excessively low value for the Minimum password age setting will likely increase administrative overhead, because users who forget their passwords might ask the help desk to reset them frequently. 
1.1.2;Ensure 'Maximum password age' is set to '60 or fewer days, but not 0';GPO;MaximumPasswordAge;1-60;INCORRECT;"This policy setting defines how long a user can use their password before it expires. 
Values for this policy setting range from 0 to 999 days. If you set the value to 0, the password will never expire. 
Because attackers can crack passwords, the more frequently you change the password the less opportunity an attacker has to use a cracked password. However, the lower this value is set, the higher the potential for an increase in calls to help desk support due to users having to change their password or forgetting which password is current. ";The longer a password exists the higher the likelihood that it will be compromised by a brute force attack, by an attacker gaining general knowledge about the user, or by the user sharing the password. Configuring the Maximum password age setting to 0 so that users are never required to change their passwords is a major security risk because that allows a compromised password to be used by the malicious user for as long as the valid user has authorized access. ;Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Maximum password age;If the Maximum password age setting is too low, users are required to change their passwords very often. Such a configuration can reduce security in the organization, because users might write their passwords in an insecure location or lose them. If the value for this policy setting is too high, the level of security within an organization is reduced because it allows potential attackers more time in which to discover user passwords or to use compromised accounts.
1.1.3;Ensure 'Minimum password age' is set to '1 or more day(s)';GPO;MinimumPasswordAge;>=1;INCORRECT;This policy setting determines the number of days that you must use a password before you can change it. The range of values for this policy setting is between 1 and 999 days. (You may also set the value to 0 to allow immediate password changes.) The default value for this setting is 0 days. ;Users may have favorite passwords that they like to use because they are easy to remember and they believe that their password choice is secure from compromise. Unfortunately, passwords are compromised and if an attacker is targeting a specific individual user account, with foreknowledge of data about that user, reuse of old passwords can cause a security breach. To address password reuse a combination of security settings is required. Using this policy setting with the Enforce password history setting prevents the easy reuse of old passwords. For example, if you configure the Enforce password history setting to ensure that users cannot reuse any of their last 12 passwords, they could change their password 13 times in a few minutes and reuse the password they started with, unless you also configure the Minimum password age setting to a number that is greater than 0. You must configure this policy setting to a number that is greater than 0 for the Enforce password history setting to be effective. ;Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Minimum password age;If an administrator sets a password for a user but wants that user to change the password when the user first logs on, the administrator must select the User must change password at next logon check box, or the user will not be able to change the password until the next day. 
1.1.4;Ensure 'Minimum password length' is set to '14 or more character(s)';GPO;MinimumPasswordLength;>=14;INCORRECT;"This policy setting determines the least number of characters that make up a password for a user account. There are many different theories about how to determine the best password length for an organization, but perhaps ""pass phrase"" is a better term than ""password."" In Microsoft Windows 2000 and newer, pass phrases can be quite long and can include spaces. Therefore, a phrase such as ""I want to drink a $5 milkshake"" is a valid pass phrase; it is a considerably stronger password than an 8 or 10 character string of random numbers and letters, and yet is easier to remember. Users must be educated about the proper selection and maintenance of passwords, especially with regard to password length. In enterprise environments, the ideal value for the Minimum password length setting is 14 characters, however you should adjust this value to meet your organization's business requirements. ";Types of password attacks include dictionary attacks (which attempt to use common words and phrases) and brute force attacks (which try every possible combination of characters). Also, attackers sometimes try to obtain the account database so they can use tools to discover the accounts and passwords. ;Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Minimum password length ;Requirements for extremely long passwords can actually decrease the security of an organization, because users might leave the information in an insecure location or lose it. If very long passwords are required, mistyped passwords could cause account lockouts and increase the volume of help desk calls. If your organization has issues with forgotten passwords due to password length requirements, consider teaching your users about pass phrases, which are often easier to remember and, due to the larger number of character combinations, much harder to discover. 
1.1.5;Ensure 'Password must meet complexity requirements' is set to 'Enabled';GPO;PasswordComplexity;Enabled;CORRECT;;;;
1.1.6;Ensure 'Store passwords using reversible encryption' is set to 'Disabled';GPO;;Disabled;CORRECT;;;;
1.2.1;Ensure 'Account lockout duration' is set to '15 or more minute(s)';GPO;LockoutDuration;>=15;INCORRECT;;;;
1.2.2;Ensure 'Account lockout threshold' is set to '10 or fewer invalid logon attempt(s), but not 0';GPO;LockoutBadCount;1-10;CORRECT;;;;
1.2.3;Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)';GPO;ResetLockoutCount;>=15;INCORRECT;;;;
2.2.1;Ensure 'Access Credential Manager as a trusted caller' is set to 'No One';GPO;SeTrustedCredManAccessPrivilege;No One;EMPTY;;;;
